id,Accident_Latitude,Accident_Longitude,Accident_Type
417,41.99,140.67,﻿旅客船おおぬま衝突（桟橋）
418,33.6175,130.0667,﻿衝突
419,34.4083,133.205,﻿衝突（桟橋）
420,34.404,133.1967,﻿衝突（桟橋）
421,34.328167,133.225,﻿衝突
422,35.22,139.715,﻿衝突（岸壁）
423,41.048167,140.646333,﻿乗揚
424,34.2783,132.91,﻿乗揚
425,34.3933,133.0883,﻿衝突（灯浮標）
426,34.404,133.196,﻿乗揚
427,34.315,132.91,﻿衝突
428,31.865,130.195,﻿衝突
429,34.4,133.1933,﻿衝突
430,34.2715,133.15917,﻿安全阻害
431,34.278,133.177,﻿衝突（岸壁）
432,34.3416667,133.1388889,﻿衝突（桟橋）
433,34.40333,133.19667,﻿乗揚
434,34.3351,132.9983,﻿衝突（防波堤）
435,31.8167,129.86,﻿乗揚
436,34.41,133.215,﻿衝突
437,35.221,139.715,﻿衝突
438,34.4026,133.196,﻿衝突
439,34.331667,132.9167,﻿衝突（桟橋）
440,34.40367,133.19333,﻿衝突（桟橋）
441,34.405,133.196,﻿衝突
442,32.765,130.375,﻿衝突
443,34.306,133.01,﻿運航不能（燃料供給不能）
444,34.4023,133.1971,﻿乗揚
445,34.269367,132.913333,﻿衝突（桟橋）
446,34.33166,132.91666,﻿衝突（護岸）
447,34.4036,133.1927,﻿運航阻害
448,35.22,139.715,﻿衝突（岸壁）
449,31.848333,130.1111,﻿運航阻害
450,42.65,141.675,﻿衝突
451,34.308333,132.998333,﻿旅客負傷
452,35.2295,139.731,﻿乗揚
453,34.33,133.098,﻿乗揚
454,34.326667,133.1,﻿乗揚
455,34.4017,133.1903,﻿衝突（岸壁）
456,34.17,134.82,﻿乗揚
457,34.29833,133.15,﻿衝突（桟橋）
458,33.6795,131.5655,﻿衝突（岸壁）
459,33.255,131.597,﻿乗揚
460,34.40333,133.19333,﻿衝突
461,32.928333,130.443333,﻿乗組員負傷
462,34.2815,133.18,﻿衝突（桟橋）
463,33.3033,131.505,﻿陸上作業員負傷
464,34.3067,132.9982,﻿乗揚
465,34.4033,133.1967,﻿運航阻害
466,34.283333,133.178333,﻿衝突
467,34.3533333,133.132833,﻿乗揚
468,34.305,133.0833,﻿衝突（桟橋）
469,34.29,132.83,﻿浸水
470,33.0133,130.4167,﻿衝突（桟橋）
471,33.94817,131.69667,﻿乗揚
472,34.405,133.1967,﻿衝突（桟橋）
473,34.9,139.265,﻿衝突（海洋生物）
474,42.637,141.632,﻿乗組員死亡
475,34.7522,139.3492,﻿火災
476,34.407,133.203,﻿衝突
477,33.687,131.6,﻿衝突（岸壁）
478,33.2933,131.6433,﻿運航阻害
479,40.875,140.744,﻿運航阻害
480,32.7611,130.584,﻿船舶事故
481,40.8452,140.718833,﻿衝突（岸壁）
482,32.9263,130.442667,﻿乗組員負傷
483,32.765,130.373,﻿衝突（岸壁）
484,34.21,135.1067,﻿運航阻害
485,33.8367,131.3039,﻿運航阻害
486,34.3926,133.0906,﻿衝突
487,35.00833,139.68,﻿運航阻害
488,40.8367,140.7417,﻿運航阻害
489,34.403667,133.196333,﻿乗組員死亡
490,40.846667,140.718611,﻿乗組員負傷
491,34.407333,133.2083,﻿衝突
492,42.6383,141.6383,﻿乗組員負傷
493,40.844,140.7185,﻿旅客船びなす衝突（桟橋）
494,33.3133,131.6617,﻿運航阻害
495,40.872222,140.745833,﻿旅客船あさかぜ運航阻害
496,34.2783,132.9128,﻿乗揚
497,35.212167,139.737,﻿乗揚
498,34.3767,133.0961,﻿衝突
499,40.844,140.718,﻿乗組員負傷
500,32.1583,130.0419,﻿遊覧船サブマリン号乗揚
501,40.8433,140.7185,﻿乗組員負傷
502,31.8185,129.8149,﻿火災
503,32.7517,130.4584,﻿運航阻害
504,32.91,130.4,﻿運航阻害
505,34.330556,133.1,﻿衝突（防砂堤）
506,34.287,133.145,﻿衝突（桟橋）
507,34.1717,134.8185,﻿衝突（岸壁）
508,33.3703,131.7035,﻿運航阻害
509,34.332833,132.91667,﻿衝突
510,33.687,131.6,﻿衝突（岸壁）
511,33.105,132.005,﻿運航阻害
512,33.12667,131.81,﻿衝突（岸壁）
513,32.9785,131.9107,﻿乗揚
514,26.2733,127.41,﻿火災
515,34.0517,134.5906,﻿衝突（岸壁）
516,26.2733,127.6983,﻿乗揚
517,34.1867,134.6185,﻿衝突
518,35.155,139.7767,﻿衝突
519,33.12667,131.81167,﻿衝突（岸壁）
520,32.632,129.371,﻿運航阻害
521,34.965,139.1315,﻿衝突
522,32.7233,129.7481,﻿運航阻害
523,34.0533,134.5983,﻿衝突（岸壁）
524,34.06,134.64167,﻿運航阻害
525,34.0567,134.5833,﻿乗組員負傷
526,34.05,134.5917,﻿衝突（岸壁）
527,34.195,134.596,﻿浸水
528,26.362167,127.5,﻿運航阻害
529,32.628333,129.738333,﻿衝突（桟橋）
530,34.9956,139.8185,﻿乗揚
531,34.97183,139.1037,﻿乗組員負傷
532,34.065,134.6676,﻿運航阻害
533,32.628,129.7388,﻿衝突（桟橋）
534,35.021667,138.896667,﻿衝突（桟橋）
535,26.6383,127.528,﻿衝突（岸壁）
536,30.74067,130.95183,﻿旅客負傷
537,34.0567,134.5833,﻿乗組員負傷
538,34.0493,134.665,﻿乗揚
539,34.057,134.583,﻿運航阻害
540,32.7167,129.585,﻿運航阻害
541,26.256,127.402,﻿潜水者負傷
542,26.3694,127.7222,﻿乗揚
543,26.259167,127.33,﻿運航不能（舵故障）
544,35.163,139.772,﻿火災
545,34.073667,134.546333,﻿衝突
546,32.626,129.738,﻿衝突（桟橋）
547,33.128,131.81,﻿衝突（岸壁）
548,35.03517,138.88883,﻿衝突（岸壁）
549,32.626,129.738,﻿衝突（桟橋）
550,34.7083,136.9983,﻿衝突（防波堤）
551,32.5283,130.4267,﻿座洲
552,34.2906,136.8067,﻿乗揚
553,26.448167,127.795167,﻿乗組員負傷
554,34.585,137.02,﻿衝突（桟橋）
555,34.685,137.005,﻿衝突
556,34.7037,136.9958,﻿浸水
557,26.4536,127.78,﻿旅客負傷
558,32.5153,130.4587,﻿運航不能（燃料不足）
559,43.19667,141.02,﻿衝突
560,32.5408,130.5565,﻿浸水
561,26.3467,126.8475,﻿運航不能（機関室浸水）
562,26.7047,127.8108,﻿衝突
563,34.6703,138.9517,﻿座洲
564,34.69817,136.97217,﻿旅客負傷
565,32.3383,130.3373,﻿旅客負傷
566,26.517,128.063,﻿転覆
567,34.7767,136.6067,﻿火災
568,34.2717,136.8133,﻿運航不能（燃料供給不能）
569,35.0583,136.8452,﻿運航阻害
570,31.26833,130.22,﻿旅客負傷
571,34.505,136.892,﻿乗揚
572,35.084817,136.87955,﻿衝突（係船浮標）
573,32.3928,130.344,﻿乗揚
574,31.2633,130.2167,﻿遊泳者負傷
575,32.375,130.33737,﻿衝突
576,43.2283333,140.9416667,﻿乗揚
577,32.3685,130.3517,﻿衝突（桟橋）
578,32.5382,130.3852,﻿乗揚
579,26.7067,127.8037,﻿衝突（岸壁）
580,32.528333,130.426667,﻿乗揚
581,26.655,127.8334,﻿乗客負傷
582,30.99067,130.6217,﻿衝突（鯨）
583,31.2617,130.2167,﻿遊泳者負傷
584,26.44,127.77,﻿乗揚
585,32.39167,130.3067,﻿衝突（灯浮標）
586,32.595,130.465,﻿安全阻害
587,31.262167,130.217,﻿遊泳者負傷
588,34.740667,137.018611,﻿旅客負傷
589,32.5383,130.4315,﻿乗揚
590,34.7,136.993,﻿乗揚（のり養殖施設）
591,34.4883,136.85,﻿乗揚
592,34.698167,136.983333,﻿衝突
593,31.22167,130.755,﻿旅客負傷
594,26.540667,128.077667,﻿乗揚
595,43.2416,140.9983,﻿運航阻害
596,34.49,136.844,﻿乗組員死亡
597,35.118833,136.907333,﻿沈没
598,34.7,136.98,﻿衝突
599,32.338333,130.337333,﻿衝突（桟橋）
600,26.44,127.7817,﻿転覆
601,26.5038,127.8547,﻿乗揚
602,34.7767,136.9167,﻿旅客負傷
603,43.188833,141.025833,﻿衝突（岸壁）
604,31.2383,130.66,﻿運航阻害
605,34.67,138.9495,﻿乗組員負傷
606,34.514,136.852,﻿衝突（護岸）
607,26.321667,127.7537,﻿火災
608,26.7019,127.8055,﻿乗揚
609,26.463,127.8083,﻿乗揚
610,34.7036,137.01,﻿衝突（岸壁）
611,26.635,128.023,﻿衝突（浮標）
612,32.38,130.3815,﻿衝突
613,31.1464,130.68,﻿漁具損傷
614,31.315,130.193,﻿転覆
615,34.6467,129.495,﻿運航阻害
616,34.285,136.77,﻿衝突
